title
test data for t6
nnode, nelem
   175     72
node,coordinate
    41     85    99    87    92    93    86
    42     99   101    87   100    94    93
    43    103   117   105   110   111   104
    44    117   119   105   118   112   111
    45    101   115   103   108   109   102
    46    115   117   103   116   110   109
    47     99   113   101   106   107   100
    48    113   115   101   114   108   107
    49    117   131   119   124   125   118
    50    131   133   119   132   126   125
    51    115   129   117   122   123   116
    52    129   131   117   130   124   123
    53    113   127   115   120   121   114
    54    127   129   115   128   122   121
    55    131   145   133   138   139   132
    56    145   147   133   146   140   139
    57    129   143   131   136   137   130
    58    143   145   131   144   138   137
    59    127   141   129   134   135   128
    60    141   143   129   142   136   135
    61    145   159   147   152   153   146
    62    159   161   147   160   154   153
    63    143   157   145   150   151   144
    64    157   159   145   158   152   151
    65    141   155   143   148   149   142
    66    155   157   143   156   150   149
    67    159   173   161   166   167   160
    68    173   175   161   174   168   167
    69    157   171   159   164   165   158
    70    171   173   159   172   166   165
    71    155   169   157   162   163   156
    72    169   171   157   170   164   163
material
 2100 0.3
boundary
       1 1 1  0.000000 0.000000 
       2 1 1  0.000000 0.000000 
       3 1 1  0.000000 0.000000 
       6 1 1  0.000000 0.000000 
       9 1 1  0.000000 0.000000 
      12 1 1  0.000000 0.000000 
      17 1 1  0.000000 0.000000 
traction
3
   169 171 170    0  1
   171 173 172    0  1
   173 175 174    0  1
end
