step,time,distance,angle,eq0_force_distance,eq1_force_distance,eq2_force_distance,eq0_force_angle,eq1_force_angle,eq2_force_angle,eq0_impulse,eq1_impulse,eq2_impulse,diagnostics_flags,condition_number,condition_number_spectral,condition_gap,min_eigenvalue,max_eigenvalue,active_equations,drop_events_step,drop_index_mask_step,drop_events_total,recovery_events_step,recovery_steps_step,recovery_events_total,pending_drop_count,max_pending_steps_running
20,0.070000,0.745202,0.332484,-0.153443,0.000000,0.020735,0.305911,0.000000,-0.138066,0.000309,0.000000,0.000418,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,20
21,0.073500,0.745207,0.332486,-0.153469,0.000000,0.020673,0.305947,0.000000,-0.138113,0.000309,0.000000,0.000418,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,21
22,0.077000,0.745211,0.332487,-0.153495,0.000000,0.020612,0.305984,0.000000,-0.138160,0.000310,0.000000,0.000418,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,22
23,0.080500,0.745216,0.332488,-0.153521,0.000000,0.020552,0.306020,0.000000,-0.138208,0.000310,0.000000,0.000418,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,23
24,0.084000,0.745220,0.332489,-0.153546,0.000000,0.020491,0.306056,0.000000,-0.138254,0.000311,0.000000,0.000418,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,24
25,0.087500,0.745225,0.332490,-0.153572,0.000000,0.020430,0.306092,0.000000,-0.138301,0.000311,0.000000,0.000418,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,25
26,0.091000,0.745229,0.332491,-0.153597,0.000000,0.020370,0.306128,0.000000,-0.138348,0.000312,0.000000,0.000418,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,26
27,0.094500,0.745234,0.332492,-0.153623,0.000000,0.020310,0.306163,0.000000,-0.138395,0.000312,0.000000,0.000418,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,27
28,0.098000,0.745238,0.332494,-0.153648,0.000000,0.020250,0.306199,0.000000,-0.138441,0.000312,0.000000,0.000418,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,28
29,0.101500,0.745243,0.332495,-0.153673,0.000000,0.020189,0.306235,0.000000,-0.138488,0.000313,0.000000,0.000418,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,29
30,0.105000,0.745247,0.332496,-0.153699,0.000000,0.020130,0.306270,0.000000,-0.138534,0.000313,0.000000,0.000418,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,30
