time,pos_x,pos_y,angle,vx,vy,omega,translation_x,translation_y,orientation_error,motor_force_x,motor_force_y,limit_force_x,limit_force_y,limit_spring_force_x,limit_spring_force_y,motor_mode_x,motor_mode_y,motor_target_x,motor_target_y,orientation_target,limit_state_x,limit_state_y,limit_lower_y,limit_upper_y,stage
0.004000,-0.119738,0.179738,0.000000,0.065389,-0.065389,0.000000,-0.119738,0.179738,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
0.024000,-0.114516,0.174516,0.000000,0.391355,-0.391355,0.000000,-0.114516,0.174516,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
0.044000,-0.103582,0.163582,0.000000,0.576396,-0.576396,0.000000,-0.103582,0.163582,0.000000,13.460007,-13.460007,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
0.064000,-0.092457,0.152457,0.000000,0.487621,-0.487621,0.000000,-0.092457,0.152457,0.000000,-26.560976,26.560976,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
0.084000,-0.082703,0.142703,0.000000,0.496196,-0.496196,0.000000,-0.082703,0.142703,0.000000,-10.010721,10.010721,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
0.104000,-0.072804,0.132804,0.000000,0.450583,-0.450583,0.000000,-0.072804,0.132804,0.000000,-24.944733,24.944733,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
0.124000,-0.063104,0.123104,0.000000,0.454556,-0.454556,0.000000,-0.063104,0.123104,0.000000,-15.172058,15.172058,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
0.144000,-0.053974,0.113974,0.000000,0.516009,-0.516009,0.000000,-0.053974,0.113974,0.000000,27.561270,-27.561270,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
0.164000,-0.045242,0.105242,0.000000,0.428511,-0.428511,0.000000,-0.045242,0.105242,0.000000,-13.905326,13.905326,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
0.184000,-0.036413,0.096413,0.000000,0.415239,-0.415239,0.000000,-0.036413,0.096413,0.000000,-13.478686,13.478686,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
