Title
test data for t4 
nnode,nelem
235 599
Node
    1   2.96590   -4.02535    0.50000
    2   2.96590   -4.02535    0.00000
    3   2.80172   -3.28426    0.50000
    4   2.26368   -4.45822    0.50000
    5   3.60424   -3.46547    0.50000
    6   2.21757   -3.59740    0.50000
    7   2.81114   -3.26850    0.00000
    8   2.26368   -4.45822    0.00000
    9   3.60424   -3.46547    0.00000
   10   2.21757   -3.59740    0.00000
   11   1.60118   -4.05102    0.50000
   12   3.25356   -2.62128    0.50000
   13   1.60118   -4.05102    0.00000
   14   3.25356   -2.62128    0.00000
   15   1.52136   -4.76293    0.50000
   16   1.96735   -2.71180    0.50000
   17   1.52136   -4.76293    0.00000
   18   4.15304   -2.78429    0.50000
   19   2.01443   -2.63299    0.00000
   20   4.15304   -2.78429    0.00000
   21   0.97673   -4.15414    0.50000
   22   1.09049   -3.23908    0.50000
   23   0.97673   -4.15414    0.00000
   24   1.06283   -3.30520    0.00000
   25   3.64329   -1.99179    0.50000
   26   2.71210   -1.85065    0.50000
   27   3.64329   -1.99179    0.00000
   28   2.71210   -1.85065    0.00000
   29   0.76045   -4.94183    0.50000
   30   0.76045   -4.94183    0.00000
   31   4.58557   -1.99312    0.50000
   32   4.58557   -1.99312    0.00000
   33   0.32685   -4.27309    0.50000
   34   0.32685   -4.27309    0.00000
   35   0.37595   -4.98585    0.25000
   36   0.80881   -2.33612    0.00000
   37   0.17028   -3.67581    0.50000
   38   0.17028   -3.67581    0.00000
   39   3.91992   -1.28567    0.50000
   40   1.00239   -1.87334    0.50000
   41   3.91992   -1.28567    0.00000
   42  -0.10108   -4.52555    0.26250
   43  -0.00000   -5.00000    0.50000
   44   1.24444   -1.43600    0.00000
   45  -0.00000   -5.00000    0.00000
   46   2.12482   -0.97466    0.00000
   47   3.15059   -0.72960    0.50000
   48   3.15059   -0.72960    0.00000
   49   1.43803   -0.97322    0.50000
   50  -0.44414   -4.24177    0.50000
   51   2.20217   -0.66336    0.50000
   52  -0.44414   -4.24177    0.00000
   53   4.87526   -1.10988    0.50000
   54  -0.37492   -4.98592    0.25000
   55   4.87526   -1.10988    0.00000
   56  -0.30209   -2.61009    0.50000
   57  -0.30209   -2.61009    0.00000
