FEM4C - High Performance Finite Element Method in C
Analysis Results
=====================================

Analysis Title: T3 Cantilever Beam
Date/Time:      2025-10-11 01:41:19
Input File:     input.dat

Problem Size:
  Number of nodes:     297
  Number of elements:  512
  Number of materials: 1
  Total DOF:           594

Nodal Displacements:
====================
Node      UX           UY           UZ
----  -----------  -----------  -----------
   1   0.0000e+00   0.0000e+00   0.0000e+00
   2  -7.6279e-08  -3.8389e-08   0.0000e+00
   3  -1.4868e-07  -1.1274e-07   0.0000e+00
   4  -2.1982e-07  -2.3118e-07   0.0000e+00
   5  -2.8896e-07  -3.9348e-07   0.0000e+00
   6  -3.5578e-07  -5.9830e-07   0.0000e+00
   7  -4.2019e-07  -8.4414e-07   0.0000e+00
   8  -4.8218e-07  -1.1295e-06   0.0000e+00
   9  -5.4173e-07  -1.4527e-06   0.0000e+00
  10  -5.9885e-07  -1.8125e-06   0.0000e+00
  11  -6.5354e-07  -2.2071e-06   0.0000e+00
  12  -7.0580e-07  -2.6352e-06   0.0000e+00
  13  -7.5563e-07  -3.0951e-06   0.0000e+00
  14  -8.0304e-07  -3.5854e-06   0.0000e+00
  15  -8.4801e-07  -4.1045e-06   0.0000e+00
  16  -8.9055e-07  -4.6510e-06   0.0000e+00
  17  -9.3067e-07  -5.2233e-06   0.0000e+00
  18  -9.6836e-07  -5.8199e-06   0.0000e+00
  19  -1.0036e-06  -6.4392e-06   0.0000e+00
  20  -1.0364e-06  -7.0798e-06   0.0000e+00
  21  -1.0668e-06  -7.7402e-06   0.0000e+00
  22  -1.0948e-06  -8.4187e-06   0.0000e+00
  23  -1.1203e-06  -9.1140e-06   0.0000e+00
  24  -1.1435e-06  -9.8244e-06   0.0000e+00
  25  -1.1641e-06  -1.0549e-05   0.0000e+00
  26  -1.1824e-06  -1.1285e-05   0.0000e+00
  27  -1.1982e-06  -1.2032e-05   0.0000e+00
  28  -1.2116e-06  -1.2788e-05   0.0000e+00
  29  -1.2226e-06  -1.3551e-05   0.0000e+00
  30  -1.2311e-06  -1.4321e-05   0.0000e+00
  31  -1.2372e-06  -1.5095e-05   0.0000e+00
  32  -1.2407e-06  -1.5872e-05   0.0000e+00
  33  -1.2416e-06  -1.6650e-05   0.0000e+00
  34   0.0000e+00   0.0000e+00   0.0000e+00
  35  -5.4546e-08  -3.0619e-08   0.0000e+00
  36  -1.1035e-07  -1.0516e-07   0.0000e+00
  37  -1.6405e-07  -2.2377e-07   0.0000e+00
  38  -2.1597e-07  -3.8630e-07   0.0000e+00
  39  -2.6611e-07  -5.9137e-07   0.0000e+00
  40  -3.1442e-07  -8.3747e-07   0.0000e+00
  41  -3.6091e-07  -1.1230e-06   0.0000e+00
  42  -4.0559e-07  -1.4466e-06   0.0000e+00
  43  -4.4843e-07  -1.8066e-06   0.0000e+00
  44  -4.8946e-07  -2.2015e-06   0.0000e+00
  45  -5.2867e-07  -2.6298e-06   0.0000e+00
  46  -5.6605e-07  -3.0899e-06   0.0000e+00
  47  -6.0161e-07  -3.5805e-06   0.0000e+00
