scenario,eq_count,kappa_bound,kappa_spectral,min_pivot,max_pivot
default,2,1.0000e+00,1.0000e+00,1.10e+00,3.90e+00
default,3,1.0000e+00,1.0000e+00,1.02e+00,4.05e+00
default,4,1.0000e+00,1.0000e+00,1.00e+00,4.20e+00
spectral_stress,4,1.0000e+26,1.0000e+26,3.00e-03,8.00e+02
