step,time,distance,angle,eq0_force_distance,eq1_force_distance,eq2_force_distance,eq0_force_angle,eq1_force_angle,eq2_force_angle,eq0_impulse,eq1_impulse,eq2_impulse,diagnostics_flags,condition_number
2117,7.409500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2118,7.413000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2119,7.416500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2120,7.420000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2121,7.423500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2122,7.427000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2123,7.430500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2124,7.434000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2125,7.437500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2126,7.441000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2127,7.444500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2128,7.448000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2129,7.451500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2130,7.455000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2131,7.458500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2132,7.462000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2133,7.465500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2134,7.469000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2135,7.472500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2136,7.476000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2137,7.479500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2138,7.483000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2139,7.486500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2140,7.490000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2141,7.493500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2142,7.497000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2143,7.500500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2144,7.504000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2145,7.507500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2146,7.511000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2147,7.514500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2148,7.518000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2149,7.521500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2150,7.525000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2151,7.528500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2152,7.532000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2153,7.535500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2154,7.539000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2155,7.542500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2156,7.546000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2157,7.549500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2158,7.553000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2159,7.556500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2160,7.560000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2161,7.563500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2162,7.567000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2163,7.570500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2164,7.574000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2165,7.577500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2166,7.581000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2167,7.584500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2168,7.588000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2169,7.591500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2170,7.595000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2171,7.598500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2172,7.602000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2173,7.605500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2174,7.609000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2175,7.612500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2176,7.616000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2177,7.619500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2178,7.623000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2179,7.626500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2180,7.630000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2181,7.633500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2182,7.637000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2183,7.640500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2184,7.644000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2185,7.647500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2186,7.651000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2187,7.654500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2188,7.658000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2189,7.661500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2190,7.665000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2191,7.668500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2192,7.672000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2193,7.675500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2194,7.679000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2195,7.682500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2196,7.686000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2197,7.689500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2198,7.693000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2199,7.696500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2200,7.700000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2201,7.703500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2202,7.707000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2203,7.710500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2204,7.714000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2205,7.717500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2206,7.721000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2207,7.724500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2208,7.728000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2209,7.731500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2210,7.735000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2211,7.738500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2212,7.742000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2213,7.745500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2214,7.749000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2215,7.752500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2216,7.756000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2217,7.759500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2218,7.763000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2219,7.766500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2220,7.770000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2221,7.773500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2222,7.777000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2223,7.780500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2224,7.784000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2225,7.787500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2226,7.791000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2227,7.794500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2228,7.798000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2229,7.801500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2230,7.805000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2231,7.808500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2232,7.812000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2233,7.815500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2234,7.819000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2235,7.822500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2236,7.826000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2237,7.829500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2238,7.833000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2239,7.836500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2240,7.840000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2241,7.843500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2242,7.847000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2243,7.850500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2244,7.854000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2245,7.857500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2246,7.861000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2247,7.864500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2248,7.868000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2249,7.871500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2250,7.875000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2251,7.878500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2252,7.882000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2253,7.885500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2254,7.889000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2255,7.892500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2256,7.896000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2257,7.899500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2258,7.903000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2259,7.906500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2260,7.910000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2261,7.913500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2262,7.917000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2263,7.920500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2264,7.924000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2265,7.927500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2266,7.931000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2267,7.934500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2268,7.938000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2269,7.941500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2270,7.945000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2271,7.948500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2272,7.952000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2273,7.955500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2274,7.959000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2275,7.962500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2276,7.966000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2277,7.969500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2278,7.973000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2279,7.976500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2280,7.980000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2281,7.983500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2282,7.987000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2283,7.990500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2284,7.994000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2285,7.997500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2286,8.001000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2287,8.004500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2288,8.008000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2289,8.011500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2290,8.015000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2291,8.018500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2292,8.022000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2293,8.025500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2294,8.029000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2295,8.032500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2296,8.036000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2297,8.039500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2298,8.043000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2299,8.046500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2300,8.050000,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
2301,8.053500,0.668195,0.509333,-0.333048,0.145146,-0.081441,0.328562,0.012168,0.153492,0.000059,0.001253,0.000219,2,5.434659e+08
